State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/1/2020,Parts per million,None,23,96,-0.073913,0,17,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/2/2020,Parts per million,None,24,100,-0.05,0.1,9,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/3/2020,Parts per million,None,24,100,-0.041667,0.1,11,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/4/2020,Parts per million,None,24,100,-0.079167,0,0,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/5/2020,Parts per million,None,24,100,-0.1,-0.1,0,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/6/2020,Parts per million,None,24,100,-0.070833,0,17,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/7/2020,Parts per million,None,24,100,-0.016667,0,0,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/8/2020,Parts per million,None,23,96,-0.086957,0,19,,93,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/1/2020,Parts per million,None,19,79,-0.084211,0,21,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/2/2020,Parts per million,None,24,100,-0.0375,0,0,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/3/2020,Parts per million,None,24,100,-0.0625,0,9,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/4/2020,Parts per million,None,24,100,-0.070833,0,0,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/5/2020,Parts per million,None,24,100,-0.1,-0.1,0,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/6/2020,Parts per million,None,24,100,-0.0875,0,21,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
39,13,6,42101,1,39.9679,-80.7464,NAD83,Carbon monoxide,8-HR RUN AVG END HOUR,CO 8-hour 1971,1/7/2020,Parts per million,None,24,100,0,0,0,0,, - ,Shadyside,2 BALL PARK RD.,Ohio,Belmont,Shadyside,"Wheeling, WV-OH",10/31/2021
