State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/3/2022,Parts per million,None,10,42,0.11,0.2,19,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/4/2022,Parts per million,None,24,100,0.104167,0.4,21,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/5/2022,Parts per million,None,24,100,-0.104167,0,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/6/2022,Parts per million,None,24,100,-0.104167,-0.1,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/7/2022,Parts per million,None,24,100,-0.129167,-0.1,4,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/8/2022,Parts per million,None,24,100,-0.05,0.3,9,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/9/2022,Parts per million,None,19,79,-0.289474,-0.2,1,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/10/2022,Parts per million,None,24,100,-0.266667,-0.2,3,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/11/2022,Parts per million,None,12,50,-0.033333,0.1,16,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/12/2022,Parts per million,None,23,96,0,0,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/13/2022,Parts per million,None,24,100,0.183333,0.8,11,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/14/2022,Parts per million,None,24,100,-0.1,-0.1,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/15/2022,Parts per million,None,24,100,-0.1,-0.1,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/16/2022,Parts per million,None,24,100,-0.075,0,1,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/17/2022,Parts per million,None,24,100,-0.1,-0.1,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/18/2022,Parts per million,None,24,100,-0.075,0,8,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/19/2022,Parts per million,None,24,100,-0.1,-0.1,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/20/2022,Parts per million,None,24,100,-0.070833,0,16,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/21/2022,Parts per million,None,21,88,0.114286,0.5,23,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/22/2022,Parts per million,None,24,100,0.979167,4.7,6,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/23/2022,Parts per million,None,24,100,0.279167,0.5,11,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/24/2022,Parts per million,None,24,100,0.466667,1,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/25/2022,Parts per million,None,24,100,0.320833,0.4,2,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/26/2022,Parts per million,None,24,100,0.366667,0.7,23,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/27/2022,Parts per million,None,24,100,0.9375,2.1,3,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/28/2022,Parts per million,None,21,88,0.161905,0.4,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
39,35,51,42101,1,41.504605,-81.69045,NAD83,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/30/2022,Parts per million,None,4,17,-0.1,0,1,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,Galleria,1301 E. 9TH ST.,Ohio,Cuyahoga,Cleveland,"Cleveland-Elyria, OH",10/18/2022
